Gmt time,Open,High,Low,Close,Volume
04.01.2021 14:31:00.000,375.147,375.208,375.037,375.037,4554.9998
04.01.2021 14:32:00.000,375.018,375.047,374.797,374.797,4773.7498
04.01.2021 14:33:00.000,374.808,374.828,374.517,374.627,4892.2501
04.01.2021 14:34:00.000,374.618,374.687,374.487,374.527,4660.5
04.01.2021 14:35:00.000,374.518,374.567,374.138,374.197,4911.5
04.01.2021 14:36:00.000,374.188,374.208,373.998,374.037,4544.0001
04.01.2021 14:37:00.000,374.037,374.148,373.987,374.037,4548.7499
04.01.2021 14:38:00.000,374.047,374.067,373.878,373.957,4109.2501
04.01.2021 14:39:00.000,373.947,374.138,373.928,373.977,4454
04.01.2021 14:40:00.000,373.977,374.048,373.737,373.767,4412.4999
04.01.2021 14:41:00.000,373.757,373.898,373.527,373.798,4664.5002
04.01.2021 14:42:00.000,373.808,373.808,373.577,373.718,4571.7502
04.01.2021 14:43:00.000,373.738,373.888,373.677,373.878,4003.5
04.01.2021 14:44:00.000,373.887,374.107,373.847,374.098,3851.7499
04.01.2021 14:45:00.000,374.097,374.198,373.967,374.158,4052.4998
04.01.2021 14:46:00.000,374.158,374.248,374.127,374.207,4116.0002
04.01.2021 14:47:00.000,374.218,374.318,374.077,374.077,4182.25
04.01.2021 14:48:00.000,374.097,374.297,374.087,374.208,3775.25
04.01.2021 14:49:00.000,374.218,374.298,374.177,374.178,3975.25
04.01.2021 14:50:00.000,374.178,374.178,373.798,373.828,4114.9998
04.01.2021 14:51:00.000,373.817,373.827,373.537,373.588,4303.2498
04.01.2021 14:52:00.000,373.578,373.578,373.097,373.117,4918.4999
04.01.2021 14:53:00.000,373.107,373.408,373.107,373.388,4097.25
04.01.2021 14:54:00.000,373.397,373.707,373.387,373.598,4902
04.01.2021 14:55:00.000,373.608,373.737,373.547,373.697,5493.2499
04.01.2021 14:56:00.000,373.677,373.717,373.267,373.398,5087.5001
04.01.2021 14:57:00.000,373.427,373.647,373.327,373.568,4881
04.01.2021 14:58:00.000,373.578,373.698,373.507,373.598,4208.25
04.01.2021 14:59:00.000,373.587,373.598,373.367,373.497,4577.0001
04.01.2021 15:00:00.000,373.498,373.728,373.487,373.528,4428
04.01.2021 15:01:00.000,373.538,373.547,373.297,373.408,4625
04.01.2021 15:02:00.000,373.428,373.528,373.397,373.458,4605.9999
04.01.2021 15:03:00.000,373.448,373.478,373.317,373.408,4106.5001
04.01.2021 15:04:00.000,373.418,373.418,373.068,373.228,4295.4998
04.01.2021 15:05:00.000,373.218,373.357,373.097,373.128,4258.5001
04.01.2021 15:06:00.000,373.138,373.228,372.998,373.138,4398.5
04.01.2021 15:07:00.000,373.148,373.178,372.917,372.998,4357.9998
04.01.2021 15:08:00.000,373.018,373.037,372.757,372.757,4722.7502
04.01.2021 15:09:00.000,372.768,372.908,372.758,372.887,4267.7498
