Gmt time,Open,High,Low,Close,Volume
04.01.2021 14:31:00.000,375.183,375.233,375.062,375.063,4657.2499
04.01.2021 14:32:00.000,375.052,375.073,374.823,374.823,4698.75
04.01.2021 14:33:00.000,374.822,374.853,374.552,374.653,4833.7498
04.01.2021 14:34:00.000,374.642,374.703,374.522,374.553,4625.9999
04.01.2021 14:35:00.000,374.542,374.593,374.162,374.223,4969.7499
04.01.2021 14:36:00.000,374.212,374.233,374.022,374.063,4530.7498
04.01.2021 14:37:00.000,374.053,374.173,374.012,374.063,4551.4998
04.01.2021 14:38:00.000,374.073,374.093,373.902,373.983,4088.7499
04.01.2021 14:39:00.000,373.973,374.153,373.952,374.003,4515.2502
04.01.2021 14:40:00.000,374.013,374.072,373.763,373.793,4415.75
04.01.2021 14:41:00.000,373.783,373.922,373.553,373.822,4640.7499
04.01.2021 14:42:00.000,373.832,373.833,373.593,373.742,4551.25
04.01.2021 14:43:00.000,373.762,373.913,373.703,373.892,4007.5002
04.01.2021 14:44:00.000,373.903,374.133,373.872,374.122,3800.4999
04.01.2021 14:45:00.000,374.113,374.233,373.993,374.172,3984.2501
04.01.2021 14:46:00.000,374.182,374.273,374.143,374.233,4160.9998
04.01.2021 14:47:00.000,374.242,374.333,374.103,374.103,4216.2499
04.01.2021 14:48:00.000,374.123,374.323,374.112,374.232,3802
04.01.2021 14:49:00.000,374.232,374.323,374.192,374.202,3974.75
04.01.2021 14:50:00.000,374.192,374.193,373.813,373.852,4128.2501
04.01.2021 14:51:00.000,373.843,373.853,373.552,373.602,4313.0002
04.01.2021 14:52:00.000,373.602,373.603,373.112,373.133,4904.7499
04.01.2021 14:53:00.000,373.133,373.433,373.133,373.412,4141.2501
04.01.2021 14:54:00.000,373.413,373.723,373.402,373.622,4810.2498
04.01.2021 14:55:00.000,373.622,373.753,373.572,373.713,5533.9999
04.01.2021 14:56:00.000,373.703,373.733,373.292,373.422,5104.4998
04.01.2021 14:57:00.000,373.463,373.673,373.353,373.592,4891.5
04.01.2021 14:58:00.000,373.602,373.722,373.532,373.612,4283.5002
04.01.2021 14:59:00.000,373.613,373.613,373.382,373.533,4471.2501
04.01.2021 15:00:00.000,373.522,373.763,373.522,373.562,4438.4999
04.01.2021 15:01:00.000,373.562,373.573,373.322,373.432,4641.5
04.01.2021 15:02:00.000,373.452,373.552,373.422,373.482,4571.7502
04.01.2021 15:03:00.000,373.472,373.502,373.343,373.432,4081.9998
04.01.2021 15:04:00.000,373.442,373.443,373.092,373.252,4282.2499
04.01.2021 15:05:00.000,373.242,373.383,373.123,373.152,4261.7502
04.01.2021 15:06:00.000,373.162,373.252,373.022,373.162,4283
04.01.2021 15:07:00.000,373.162,373.203,372.942,373.022,4296
04.01.2021 15:08:00.000,373.042,373.063,372.772,372.783,4735.7502
04.01.2021 15:09:00.000,372.782,372.932,372.782,372.913,4295.4998
04.01.2021 15:10:00.000,372.902,373.003,372.853,372.873,3839.2501
04.01.2021 15:11:00.000,372.873,372.933,372.712,372.752,4070.7502
04.01.2021 15:12:00.000,372.762,372.773,372.593,372.612,4211.2498
04.01.2021 15:13:00.000,372.632,372.713,372.572,372.632,4263.2499
04.01.2021 15:14:00.000,372.652,372.673,372.582,372.583,2843.75
04.01.2021 15:15:00.000,372.593,372.663,372.343,372.382,4182.7502
04.01.2021 15:16:00.000,372.372,372.763,372.353,372.693,4828.2499
04.01.2021 15:17:00.000,372.713,372.792,372.633,372.633,3226.7499
04.01.2021 15:18:00.000,372.643,372.783,372.622,372.623,3365.9999
04.01.2021 15:19:00.000,372.623,372.643,372.453,372.462,3517.75
04.01.2021 15:20:00.000,372.472,372.633,372.363,372.632,3968.4999
04.01.2021 15:21:00.000,372.632,372.733,372.602,372.632,3569.9999
04.01.2021 15:22:00.000,372.642,372.642,372.442,372.482,3538.5001
04.01.2021 15:23:00.000,372.492,372.513,372.342,372.403,3671.5
